date,edit_count,sentiment_mean,neg_sentiment_ratio
2018-02-05,6.966666666666667,-0.42805370557552774,0.7163335738335738
2018-02-06,6.966666666666667,-0.48924372860040466,0.7496669071669071
2018-02-07,6.966666666666667,-0.5244809839617497,0.7663335738335738
2018-02-09,6.166666666666667,-0.5246546585237882,0.7663335738335738
2018-02-10,6.066666666666666,-0.5360078656550151,0.7721669071669072
2018-02-11,5.4,-0.509688458502608,0.7615608465608464
2018-02-12,5.366666666666666,-0.444879744112807,0.7282275132275131
2018-02-13,5.333333333333333,-0.4781114366256371,0.7448941798941798
2018-02-16,5.4,-0.48946316705178966,0.7504497354497354
2018-02-17,5.3,-0.5142098639511242,0.7629497354497354
2018-02-18,5.1,-0.4914709970567907,0.7518386243386244
2018-02-19,5.0,-0.5035171425981181,0.7577910052910053
2018-02-20,4.933333333333334,-0.5269391714840654,0.7711243386243386
2018-02-21,4.766666666666667,-0.5059032121608181,0.7592195767195767
2018-02-22,4.6,-0.4943443293514706,0.7522751322751323
2018-02-23,4.366666666666666,-0.5049374224553033,0.7578306878306879
2018-02-24,4.366666666666666,-0.5055474044690057,0.7578306878306879
2018-02-27,4.7,-0.5151766233702028,0.7619973544973545
2018-03-01,4.833333333333333,-0.5112379196124575,0.760515873015873
2018-03-02,4.733333333333333,-0.47781747111055267,0.7438492063492064
2018-03-04,4.7,-0.46672560435241806,0.7216269841269841
2018-03-09,4.133333333333334,-0.4811747169664139,0.7290343915343915
2018-03-11,4.033333333333333,-0.49195137532260363,0.7348677248677249
2018-03-13,4.066666666666666,-0.4815736804433443,0.7312962962962963
2018-03-14,3.7666666666666666,-0.45953394843748324,0.7174074074074074
2018-03-16,3.8666666666666667,-0.43976600094249957,0.7090740740740741
2018-03-17,3.933333333333333,-0.4175300405119305,0.697962962962963
2018-03-18,3.8,-0.4211234985816258,0.7035185185185184
2018-03-22,3.9,-0.4552029642490325,0.7201851851851852
2018-03-23,3.8333333333333335,-0.47884297467216297,0.7312962962962963
2018-03-24,4.133333333333334,-0.46594226079130613,0.7246296296296297
2018-03-27,4.133333333333334,-0.471024935612524,0.7246296296296297
2018-03-28,3.966666666666667,-0.405539032322941,0.6912962962962964
2018-04-02,3.966666666666667,-0.40530734509505606,0.6912962962962964
2018-04-03,3.7333333333333334,-0.41510726909118667,0.6954629629629631
2018-04-04,3.7,-0.38671823740281436,0.6787962962962963
2018-04-05,3.7,-0.4518881936895626,0.7121296296296297
2018-04-08,3.933333333333333,-0.44105306342520095,0.707962962962963
2018-04-10,3.8333333333333335,-0.4284236953186768,0.7012962962962963
2018-04-13,3.7,-0.4286090896057862,0.7012962962962964
2018-04-14,3.6333333333333333,-0.45183458912979674,0.7124074074074074
2018-04-18,3.566666666666667,-0.4546320894222569,0.7207407407407407
2018-04-21,3.5,-0.4494973572288398,0.7207407407407407
2018-04-22,3.5,-0.41831528367543663,0.704074074074074
2018-04-23,3.433333333333333,-0.4399807223539661,0.7151851851851851
2018-04-24,3.5,-0.4386278922883449,0.7151851851851851
2018-04-25,3.8666666666666667,-0.4339086190390366,0.7151851851851851
2018-04-26,3.3666666666666667,-0.39095033648389355,0.6943518518518519
2018-04-27,3.2,-0.41916377161939944,0.7091666666666666
2018-04-28,3.2666666666666666,-0.485740847206778,0.7424999999999999
2018-04-29,3.2333333333333334,-0.5190614450143444,0.7758333333333333
2018-05-01,3.2333333333333334,-0.5193339634107219,0.7758333333333333
2018-05-07,3.1,-0.5316506791280375,0.7825000000000001
2018-05-08,2.8666666666666667,-0.489197171545691,0.7575000000000001
2018-05-09,2.8333333333333335,-0.5281067687438594,0.7797222222222222
2018-05-10,2.8666666666666667,-0.5480293755895561,0.7880555555555555
2018-05-14,2.933333333333333,-0.569947127484613,0.7991666666666667
2018-05-15,2.933333333333333,-0.5707061121695571,0.7991666666666667
2018-05-17,2.9,-0.5541509564552043,0.7908333333333334
2018-05-24,2.966666666666667,-0.5415433031155004,0.7841666666666666
2018-05-25,3.066666666666667,-0.5392639273086675,0.7831410256410256
2018-05-27,3.3333333333333335,-0.5389975700457382,0.7831410256410256
2018-05-28,3.3666666666666667,-0.603367943930575,0.8164743589743589
2018-05-29,3.3666666666666667,-0.6041891757328796,0.8164743589743589
2018-05-30,3.3666666666666667,-0.6045354807058462,0.8164743589743589
2018-05-31,3.7,-0.6612582254091389,0.846474358974359
2018-06-01,3.7333333333333334,-0.6612244663317489,0.846474358974359
2018-06-04,3.7666666666666666,-0.6585073690901794,0.8432336182336182
2018-06-05,3.7333333333333334,-0.6714765402963359,0.8499002849002848
2018-06-06,3.7666666666666666,-0.6711771441788076,0.8499002849002848
2018-06-09,3.8333333333333335,-0.6708894991169968,0.8499002849002848
2018-06-10,3.8,-0.6186390244256058,0.8165669515669515
2018-06-11,3.933333333333333,-0.6243341421376267,0.8165669515669515
2018-06-12,4.166666666666667,-0.681727166613113,0.8461965811965811
2018-06-13,4.766666666666667,-0.6376962977384572,0.823974358974359
2018-06-14,5.1,-0.6243105307900668,0.8162820512820512
2018-06-15,4.733333333333333,-0.6287641660058261,0.8162820512820512
2018-06-16,4.833333333333333,-0.6811918378555537,0.8412820512820512
2018-06-17,4.766666666666667,-0.6814564670804899,0.8412820512820512
2018-06-18,4.8,-0.6814597079174811,0.8412820512820512
2018-06-19,5.066666666666666,-0.6679227705482405,0.8338746438746438
2018-06-20,5.366666666666666,-0.6549304010156553,0.8272079772079771
2018-06-21,5.4,-0.6224512459520262,0.8105413105413105
2018-06-22,5.566666666666666,-0.6616518936240435,0.8327635327635328
